2025-08-15 00:08:26 [HikariPool-4:housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-4 - Thread starvation or clock leap detected (housekeeper delta=5h57m32s982ms283µs400ns).
2025-08-15 00:12:47 [AsyncResolver-bootstrap-executor-%d] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2025-08-15 00:13:39 [http-nio-1002-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-08-15 00:13:39 [http-nio-1002-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-08-15 00:13:39 [http-nio-1002-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 10 ms
2025-08-15 00:13:39 [http-nio-1002-exec-1] INFO  c.project.controller.ClaimController - Received request to file claim for policyId: 104
2025-08-15 00:13:39 [http-nio-1002-exec-1] INFO  c.project.service.ClaimServiceImpl - Filing new claim for policyId: 104
2025-08-15 00:13:39 [http-nio-1002-exec-1] INFO  c.project.service.ClaimServiceImpl - Claim filed with ID: 1
2025-08-15 00:13:39 [http-nio-1002-exec-1] INFO  c.project.controller.ClaimController - Claim filed successfully with ID: 1
2025-08-15 00:17:47 [AsyncResolver-bootstrap-executor-%d] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2025-08-15 00:22:47 [AsyncResolver-bootstrap-executor-%d] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2025-08-15 00:24:17 [http-nio-1002-exec-3] INFO  c.project.controller.ClaimController - Received request to file claim for policyId: 104
2025-08-15 00:24:17 [http-nio-1002-exec-3] INFO  c.project.service.ClaimServiceImpl - Filing new claim for policyId: 104
2025-08-15 00:24:17 [http-nio-1002-exec-3] INFO  c.project.service.ClaimServiceImpl - Claim filed with ID: 2
2025-08-15 00:24:17 [http-nio-1002-exec-3] INFO  c.project.controller.ClaimController - Claim filed successfully with ID: 2
2025-08-15 00:27:47 [AsyncResolver-bootstrap-executor-%d] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2025-08-15 00:32:47 [AsyncResolver-bootstrap-executor-%d] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2025-08-15 12:32:36 [restartedMain] INFO  c.project.CustomerServiceApplication - Starting CustomerServiceApplication using Java 17.0.12 with PID 22624 (C:\Users\2431062\Desktop\Project_for_interim\Insurance-Management-System\Claim-Service\target\classes started by 2431062 in C:\Users\2431062\Desktop\Project_for_interim\Insurance-Management-System\Claim-Service)
2025-08-15 12:32:36 [restartedMain] INFO  c.project.CustomerServiceApplication - No active profile set, falling back to 1 default profile: "default"
2025-08-15 12:32:36 [restartedMain] INFO  o.s.c.c.c.ConfigServerConfigDataLoader - Fetching config from server at : http://localhost:8762
2025-08-15 12:32:36 [restartedMain] INFO  o.s.c.c.c.ConfigServerConfigDataLoader - Located environment: name=ClaimService, profiles=[default], label=null, version=d65714386056bdbe28d73efe3ba6a47dc3b8a5c8, state=
2025-08-15 12:32:36 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2025-08-15 12:32:36 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2025-08-15 12:32:38 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-08-15 12:32:39 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 410 ms. Found 1 JPA repository interface.
2025-08-15 12:32:39 [restartedMain] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=67fdb7fd-7da6-3bbd-800e-2b20264ce8a9
2025-08-15 12:32:40 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 1002 (http)
2025-08-15 12:32:40 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-08-15 12:32:40 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.43]
2025-08-15 12:32:40 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-08-15 12:32:40 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 4222 ms
2025-08-15 12:32:41 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-08-15 12:32:41 [restartedMain] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.6.22.Final
2025-08-15 12:32:41 [restartedMain] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2025-08-15 12:32:42 [restartedMain] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2025-08-15 12:32:42 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-08-15 12:32:43 [restartedMain] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@71f77379
2025-08-15 12:32:43 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-08-15 12:32:43 [restartedMain] WARN  org.hibernate.orm.deprecation - HHH90000025: MySQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2025-08-15 12:32:43 [restartedMain] INFO  o.hibernate.orm.connections.pooling - HHH10001005: Database info:
	Database JDBC URL [Connecting through datasource 'HikariDataSource (HikariPool-1)']
	Database driver: undefined/unknown
	Database version: 8.0.42
	Autocommit mode: undefined/unknown
	Isolation level: undefined/unknown
	Minimum pool size: undefined/unknown
	Maximum pool size: undefined/unknown
2025-08-15 12:32:45 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-08-15 12:32:45 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-08-15 12:32:45 [restartedMain] INFO  c.project.service.ClaimServiceImpl - ClaimServiceImpl initialized
2025-08-15 12:32:45 [restartedMain] INFO  c.project.controller.ClaimController - ClaimController initialized
2025-08-15 12:32:45 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-08-15 12:32:47 [restartedMain] WARN  o.s.b.d.a.OptionalLiveReloadServer - Unable to start LiveReload server
2025-08-15 12:32:48 [restartedMain] INFO  o.s.c.n.e.c.DiscoveryClientOptionalArgsConfiguration - Eureka HTTP Client uses RestTemplate.
2025-08-15 12:32:48 [restartedMain] WARN  o.s.c.l.c.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger - Spring Cloud LoadBalancer is currently working with the default cache. While this cache implementation is useful for development and tests, it's recommended to use Caffeine cache in production.You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
2025-08-15 12:32:48 [restartedMain] INFO  o.s.c.n.eureka.InstanceInfoFactory - Setting initial instance status as: STARTING
2025-08-15 12:32:48 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient - Initializing Eureka in region us-east-1
2025-08-15 12:32:49 [restartedMain] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2025-08-15 12:32:49 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient - Disable delta property : false
2025-08-15 12:32:49 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient - Single vip registry refresh property : null
2025-08-15 12:32:49 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient - Force full registry fetch : false
2025-08-15 12:32:49 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient - Application is null : false
2025-08-15 12:32:49 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient - Registered Applications size is zero : true
2025-08-15 12:32:49 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient - Application version is -1: true
